,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Ord. Time, Week 2, Sat","Heb 9:2-3, 11-14","Ps 47:2-3, 6-7, 8-9",,Mark 3:20-21,316,,,,,,,
3rd Sunday in Ordinary Time,Isa 8:23b—9:3,"Ps 27:1, 4, 13-14","1 Cor 1:10-13, 17",Matt 4:12-23 or 4:12-17,67,,,,,,,
"Ord. Time, Week 3, Mon","Heb 9:15, 24-28","Ps 98:1, 2-3ab, 3cd-4, 5-6",,Mark 3:22-30,317,,,,,,,
"Ord. Time, Week 3, Tues",Heb 10:1-10,"Ps 40:2+4ab, 7-8a, 10, 11",,Mark 3:31-35,318,,,,,,,
"Ord. Time, Week 3, Wed",Heb 10:11-18,"Ps 110:1, 2, 3, 4",,Mark 4:1-20,319,,,,,,,
"Ord. Time, Week 3, Thurs",Heb 10:19-25,"Ps 24:1-2, 3-4ab, 5-6",,Mark 4:21-25,320,,,,,,,
"Ord. Time, Week 3, Fri",Heb 10:32-39,"Ps 37:3-4, 5-6, 23-24, 39-40",,Mark 4:26-34,321,,,,,,,
"Ord. Time, Week 3, Sat","Heb 11:1-2, 8-19","Luke 1:69-70, 71-72, 73-75",,"Luke 1:69-70, 71-72, 73-75",322,,,,,,,
4th Sunday in Ordinary Time,Zeph 2:3; 3:12-13,"Ps 146:6c-7, 8-9a, 9b-10",1 Cor 1:26-31,Matt 5:1-12a,70,,,,,,,
"Ord. Time, Week 4, Mon",Heb 11:32-40,"Ps 31:20, 21, 22, 23, 24",,Mark 5:1-20,323,,,,,,,
"Ord. Time, Week 4, Tues",Heb 12:1-4,"Ps 22:26b-27, 28+30, 31-32",,Mark 5:21-43,324,,,,,,,
"Ord. Time, Week 4, Wed","Heb 12:4-7, 11-15","Ps 103:1-2, 13-14, 17-18a",,Mark 6:1-6,325,Ash Wednesday can fall on any Wednesday in this range.,,,,,,
"Ord. Time, Week 4, Thurs","Heb 12:18-19, 21-24","Ps 48:2-3ab, 3cd-4, 9, 10-11",,Mark 6:7-13,326,,,,,,,
"Ord. Time, Week 4, Fri",Heb 13:1-8,"Ps 27:1, 3, 5, 8b-9abc",,Mark 6:14-29,327,,,,,,,
"Ord. Time, Week 4, Sat","Heb 13:15-17, 20-21","Ps 23:1-3a, 3b-4, 5, 6",,Mark 6:30-34,328,,,,,,,
5th Sunday in Ordinary Time,Isa 58:7-10,"Ps 112:4-5, 6-7, 8-9",1 Cor 2:1-5,Matt 5:13-16,73,,,,,,,
"Ord. Time, Week 5, Mon",Gen 1:1-19,"Ps 104:1-2a, 5-6, 10+12, 24+35c",,Mark 6:53-56,329,,,,,,,
"Ord. Time, Week 5, Tues",Gen 1:20—2:4a,"Ps 8:4-5, 6-7, 8-9",,Mark 7:1-13,330,,,,,,,
"Ord. Time, Week 5, Wed","Gen 2:4b-9, 15-17","Ps 104:1-2a, 27-28, 29bc-30",,Mark 7:14-23,331,,,,,,,
"Ord. Time, Week 5, Thurs",Gen 2:18-25,"Ps 128:1-2, 3, 4-5",,Mark 7:24-30,332,,,,,,,
"Ord. Time, Week 5, Fri",Gen 3:1-8,"Ps 32:1-2, 5, 6, 7",,Mark 7:31-37,333,,,,,,,
"Ord. Time, Week 5, Sat",Gen 3:9-24,"Ps 90:2, 3-4abc, 5-6, 12-13",,Mark 8:1-10,334,,,,,,,
6th Sunday in Ordinary Time,Sir 15:16-21,"Ps 119:1-2, 4-5, 17-18, 33-34",1 Cor 2:6-10,"Matt 5:17-37 or 5:20-22a, 27-28, 33-34a, 37",76,,,,,,,
